"Statistic Label","Census Year","Internet","County","UNIT","VALUE"
"Households with Internet access","2011","Total","Fingal","Number","92951"
"Households with Internet access","2011","Total","Dún Laoghaire-Rathdown","Number","75786"
"Households with Internet access","2011","Total","Kildare County","Number","70504"
"Households with Internet access","2011","Total","Kilkenny County","Number","33583"
"Households with Internet access","2011","Total","Laois County","Number","27916"
"Households with Internet access","2011","Total","Longford County","Number","14410"
"Households with Internet access","2011","Total","Louth County","Number","43897"
"Households with Internet access","2011","Total","Meath County","Number","61922"
"Households with Internet access","2011","Total","Offaly County","Number","26543"
"Households with Internet access","2011","Total","Westmeath County","Number","30624"
"Households with Internet access","2011","Total","Wexford County","Number","52345"
"Households with Internet access","2011","Total","Wicklow County","Number","47579"
"Households with Internet access","2011","Total","Clare County","Number","42534"
"Households with Internet access","2011","Total","Cork City","Number","47110"
"Households with Internet access","2011","Total","Cork County","Number","140445"
"Households with Internet access","2011","Total","Kerry County","Number","53088"
"Households with Internet access","2011","Total","Limerick City","Number","22300"
"Households with Internet access","2011","Total","Limerick County","Number","47121"
"Households with Internet access","2011","Total","North Tipperary","Number","25611"
"Households with Internet access","2011","Total","South Tipperary","Number","32664"
"Households with Internet access","2011","Total","Waterford City","Number","18199"
"Households with Internet access","2011","Total","Waterford County","Number","24040"
"Households with Internet access","2011","Total","Galway City","Number","27697"
"Households with Internet access","2011","Total","Galway County","Number","60644"
"Households with Internet access","2011","Total","Leitrim County","Number","12228"
"Households with Internet access","2011","Total","Mayo County","Number","47932"
"Households with Internet access","2011","Total","Roscommon County","Number","23601"
"Households with Internet access","2011","Total","Sligo County","Number","24428"
"Households with Internet access","2011","Total","Cavan County","Number","25720"
"Households with Internet access","2011","Total","Donegal County","Number","57721"
"Households with Internet access","2011","Total","Monaghan County","Number","21176"
